	[5:4]	[3:2]	[1:0]	l_track	r_track		
	FLOAT	STRAIGHT	IDLE	COAST	COAST	0	
	FLOAT	STRAIGHT	FULL_BRAKE	BREAK	BREAK	1	
	FLOAT	STRAIGHT	FORWARD	FORWARD	FORWARD	2	
	FLOAT	STRAIGHT	REVERSE	REVERSE	REVERSE	3	
	FLOAT	RIGHT	IDLE	FORWARD	REVERSE	4	Like IN_PLACE turn.
	FLOAT	RIGHT	FULL_BRAKE	BREAK	BREAK	1	
	FLOAT	RIGHT	FORWARD	FORWARD	COAST	10	
	FLOAT	RIGHT	REVERSE	REVERSE	COAST	11	
	FLOAT	LEFT	IDLE	REVERSE	FORWARD	5	Like IN_PLACE turn.
	FLOAT	LEFT	FULL_BRAKE	BREAK	BREAK	1	
	FLOAT	LEFT	FORWARD	COAST	FORWARD	12	
	FLOAT	LEFT	REVERSE	COAST	REVERSE	13	
	FLOAT	-	IDLE			NA	
	FLOAT	-	FULL_BRAKE			NA	
	FLOAT	-	FORWARD			NA	
	FLOAT	-	REVERSE			NA	
	BREAK	STRAIGHT	IDLE	COAST	COAST	0	
	BREAK	STRAIGHT	FULL_BRAKE	BREAK	BREAK	1	
	BREAK	STRAIGHT	FORWARD	FORWARD	FORWARD	2	
	BREAK	STRAIGHT	REVERSE	REVERSE	REVERSE	3	
	BREAK	RIGHT	IDLE	FORWARD	REVERSE	4	Like IN_PLACE turn.
	BREAK	RIGHT	FULL_BRAKE	BREAK	BREAK	1	
	BREAK	RIGHT	FORWARD	FORWARD	BREAK	20	
	BREAK	RIGHT	REVERSE	REVERSE	BREAK	21	
	BREAK	LEFT	IDLE	REVERSE	FORWARD	5	Like IN_PLACE turn.
	BREAK	LEFT	FULL_BRAKE	BREAK	BREAK	1	
	BREAK	LEFT	FORWARD	BREAK	FORWARD	22	
	BREAK	LEFT	REVERSE	BREAK	REVERSE	23	
	BREAK	-	IDLE			NA	
	BREAK	-	FULL_BRAKE			NA	
	BREAK	-	FORWARD			NA	
	BREAK	-	REVERSE			NA	
	IN_PLACE	STRAIGHT	IDLE	COAST	COAST	0	
	IN_PLACE	STRAIGHT	FULL_BRAKE	BREAK	BREAK	1	
	IN_PLACE	STRAIGHT	FORWARD	FORWARD	FORWARD	2	
	IN_PLACE	STRAIGHT	REVERSE	REVERSE	REVERSE	3	
	IN_PLACE	RIGHT	IDLE	FORWARD	REVERSE	4	Like IN_PLACE turn.
	IN_PLACE	RIGHT	FULL_BRAKE	BREAK	BREAK	1	
	IN_PLACE	RIGHT	FORWARD	FORWARD	REVERSE	30	
	IN_PLACE	RIGHT	REVERSE	REVERSE	FORWARD	31	
	IN_PLACE	LEFT	IDLE	REVERSE	FORWARD	5	Like IN_PLACE turn.
	IN_PLACE	LEFT	FULL_BRAKE	BREAK	BREAK	1	
	IN_PLACE	LEFT	FORWARD	REVERSE	FORWARD	32	
	IN_PLACE	LEFT	REVERSE	FORWARD	REVERSE	33	
	IN_PLACE	-	IDLE			NA	
	IN_PLACE	-	FULL_BRAKE			NA	
	IN_PLACE	-	FORWARD			NA	
	IN_PLACE	-	REVERSE			NA	
	-	STRAIGHT	IDLE			NA	
	-	STRAIGHT	FULL_BRAKE			NA	
	-	STRAIGHT	FORWARD			NA	
	-	STRAIGHT	REVERSE			NA	
	-	LEFT	IDLE			NA	
	-	LEFT	FULL_BRAKE			NA	
	-	LEFT	FORWARD			NA	
	-	LEFT	REVERSE			NA	
	-	RIGHT	IDLE			NA	
	-	RIGHT	FULL_BRAKE			NA	
	-	RIGHT	FORWARD			NA	
	-	RIGHT	REVERSE			NA	
	-	-	IDLE			NA	
	-	-	FULL_BRAKE			NA	
	-	-	FORWARD			NA	
	-	-	REVERSE			NA	
